message,label,followers_count
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,1,543
@julieebaby awe i love you too!!!! 1 am here  i miss you,1,10
@HumpNinja I cry my asian eyes to sleep at night ,1,90
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,0,223
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,1,77
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,1,25
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,1,661
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,1,832
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,1,7785
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,1,697
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",0,385
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,1,385
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,1,4910
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,1,79
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",1,28
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,0,249
is strangely sad about LiLo and SamRo breaking up. ,1,698
@tea oh! i'm so sorry  i didn't think about that before retweeting.,1,173
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,0,943
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",1,81
our duck and chicken are taking wayyy too long to hatch ,1,247
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0,1651
I need a hug ,1,1233
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",1,159
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0,241
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",1,1401
Ugh....92 degrees tomorrow ,1,589
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,1,358
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",1,1193
just leaving the parking lot of work! ,1,136
The Life is cool. But not for Me. ,1,388
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",1,120
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,1,1114
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,1,348
Damm back to school tomorrow ,1,93
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",0,235
@katortiz  Not forever... See you soon!,1,399
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",0,71
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,1,763
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,1,244
i really hate how people diss my bands!  Trace is clearly NOT ugly!,0,281
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",1,2134
Why won't you show my location?!   http://twitpic.com/2y2es,1,865
No picnic  my phone smells like citrus.,1,400
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",1,625
No new csi tonight.  FML,1,202
i think my arms are sore from tennis ,1,451
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,1,269
sleep soon... i just hate saying bye and see you tomorrow for the night. ,0,553
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",1,170
missin' the boo ,1,884
@markhardy1974 Me too  #itm,1,192
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,1,254
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",0,285
@msdrama hey missed ya at the meeting  sup mama,1,53
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",1,344
why is it always the fat ones?! ,1,701
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",1,87
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,1,142
wednesday my b-day! don't know what 2 do!! ,1,650
Poor cameron (the hills) ,1,415
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",0,689
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",0,108
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,0,651
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",1,220
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",1,2544
"@stark YOU don't follow me, either  and i work for you!",1,631
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,1,451
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0,389
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0,1068
Behind on my classes for work ,1,1953
watching &quot;House&quot; ,1,385
@kpreyes Remember my bum leg? Strikes back this time its serious ,1,99
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0,599
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0,1878
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,1,665
@Henkuyinepu it's overrated ,1,462
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,1,32
laying in bed with no voice.. ,1,422
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,1,1915
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,1,100
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",0,23
@salancaster  hope your ok.,1,592
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,1,486
@HibaNick yeah aw but i know i wudnt stand a chance ,1,167
ugh. cant sleep. its 1:30am. ,1,1347
Hanging in Crooners. Wanna sing. Can't. Sucks. ,1,500
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,1,118
Is pissed off that there's no ASBA's for a radio station. ,1,720
wednesday my b-day n don't know what 2 do!  ,1,14
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,1,1439
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,0,175
"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",0,1280
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,1,508
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",1,280
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,1,790
I'm so cold ,1,15305
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,1,121
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,1,61
Hoping the tummy rumbles go away soon ,1,34
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",1,298
almost bedtime ,1,7689
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,1,72
Agh...snow!!! ,1,458
i miss kenny powers ,0,3491
"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",1,1045
"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",1,788
@JonathanRKnight I guess that's a no then. ,1,147
sadly is going to bed. ,1,3
@ozesteph1992 Shame to hear this Stephan ,1,536
@mrsaintnick hey! i'm leavin in the morning... ,1,462
"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",1,417
laid around too much today... now my head hurts ,1,314
@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,1,62
my nokia 1110 died..  ,1,101
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,1,247
Going to sleep. Hoping tomorrow is a better day. ,1,604
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,1,220
@onemoreproject that is lame ,1,286
I don't understand... I really don't ,1,55
HEROES just isn't doing it for me this season... ,1,344
Living not downtown sure isn't much fun.  ,1,369
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,1,6897
Man Work is Hard ,1,363
"getting sick  time for some hot tea, studying, and then sleeeep",0,252
Getting eyebrows waxed. More pain ,0,169
No phantasy star yesterday  going to work...,1,41
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,1,321
Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,1,35379
is alone downstairs...working ,1,26
I feel bad for doing it ,1,229
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",0,15171
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,1,334
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,0,28
Thanks for bursting my bubble ,0,166
Going to school soon... can't find anything to wear!! gosh it's so hard ,1,204
@marieclr I was serious  LOL,1,1575
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,1,844
Crazy wind today = no birding  http://ff.im/1XTTi,1,74
currently at work.. ,1,495
Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,1,370
@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,1,662
i don't see the big deal with this website ,1,148
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,1,423
@ColinDeMar Far too out of the way for rail.  any other tips?,1,1087
I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,1,157
"Today I realized I am too good at hiding things, even I can't find it ",1,76
"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",1,5169
@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,1,841
Check out my mug  http://www.erika-obscura.blogspot.com,1,2418
Borders closed at 10 ,0,8
Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,0,3656
Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,1,60
is watching the hill . . .and its making me sad ,1,380
So many channels.... yet so so boring... lazy day again  may have to find a hobby,1,1767
@supersport I miss my buddy  ill be in NY on the 25th,1,672
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,1,520
Opps.. As I said.. I still got one day remain and now problem come ,0,552
"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",1,384
@HillyDoP  oH NO,1,1940
spencer is not a good guy. ,1,187
"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",1,165
"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well ",0,527
didn't get shit done today ~ i'm so screwed ,1,296
wanttss to go out ,1,165
Is not going to sleep tonite. ,1,169
too worried and tired to post tonight ,1,274
couldn't get shit done today ~ i'm so screwed ,1,341
"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",1,148
"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",1,196
"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",0,616
"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",1,93
@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,1,1471
i hate to see the spartans so sad ,0,351
My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,1,108
"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",1,1249
@mandayyy ,1,473
@twista202 I think I want to read some books but the library doesn't have them ,1,1357
My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,1,244
Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,1,189
@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,1,641
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,1,49
sad that the 'feet' of my macbook just fell off ,1,510
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,1,41
"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",0,1962
"Has now gotten somebody to read his tweets, but cant get them to make an account. ",1,167
@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,1,22
@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,0,1592
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,1,13
@breadandbadger Congrats!!  i totally forgot to submit photos ,1,836
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",1,1712
@imaginarypeach now your leaving me  .... -gets sad-,1,1331
"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",1,1242
SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,0,1236
Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,1,433
What tragedy and disaster in the news this week ,0,1203
yes yes still trying to find a picture that will upload correclty.. ,1,326
Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,1,1008
I still can't find my keys. ,1,1477
@charlietm I know right. I dunno what is going on with twitter. ,1,372
might be getting a sore throat again ,1,244
@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,1,302
@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,1,122
@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,1,193
is in the bathroom... wake up lakin. ,1,491
@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,1,171
"im lonely  keep me company! 22 female, california",1,370
bad day at the betfair office ,1,349
I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,1,53
I'm really cold. I don't want to go to sleep yet but there's nothing to do ,1,374
@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,1,23
monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,1,330
@miss_om Aww  I know I felt like that yesterday at work ,1,41442
@SarahReedSC treaty isn't defined ,1,315
missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,1,746
missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,0,221
Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,1,158
@mandayyy   ,1,2856
New video card is DOA. ,1,52287
"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",1,1824
"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",1,572
missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,1,4056
i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,1,183
has lost his ring. It's no-where to be seen ,1,56
"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",1,168
Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,0,1577
Is fucked to go back to IC ,1,308
@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,1,27856
@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,1,309
@kissability Me too I is poor ,1,1155
help me forget 8th april &amp; 13th july! ,1,135
"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",1,195
i have to take my sidekick back. ,1,118
@chriscantore congrats! I'm totally jealous! only wish my XM was working ,1,1450
gr8t my face is very itchy ,1,1080
poor socks  luvvvvv the golden retriever!! I want one sighhhh,1,550
I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,1,647
Aaaaand the nausea is back. ,1,15
@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!,1,73
spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,1,147
@mathewsmichael  i agree... the jobros dont update theres very often ,1,439
@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,0,1050
@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),1,85
"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",1,1293
@bostongarden I miss bentley ,1,144
seriously needs to finish these job applications ,1,423
"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",0,394
Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. ,1,57
@huntermoore I don't want him to ever punch me.  ,1,331
sooo sick of the snow  ughh,0,465
@ITS_NEMESIS ------- ,1,101
@LoveMeagan it doesn't work your fan is upset ,1,54
I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,1,289
@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,1,986
"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",1,41
feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,0,255
@ThaStevieG but what I really want is my old bass back ,1,359
Mad tired today... Callin it in early tonight  nighty night twittas,1,558
"@LevenRambin: Take it easy, and be good to you. ",1,280
I'm afraid I had bad code. ,1,333
Think I'm going to bed. Goodniight. I hate this ,0,134
"@riancurtis  i'm here, friend, and i love you.",1,202
@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,1,1187
@aaronrva is in the bathroom and i have to pee!    ,1,195
@ashleyskyy but I wanted a margarita too! ,1,549
@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,1,133
Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,1,256
"has 0g of milky bar left, and around 200ml of coke ",1,245
@jokerrrr It stillllll hasn't arrived ,1,1059
"Mraow, I feel like dancing, but first art school wants to rape me some more. ",1,1261
@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,1,363
Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,1,137
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,1,189
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",1,224
"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",1,333
Just watched tropic thunder. Dreading tomorrow ,1,3913
@qweendassah no...he's still miss'n... ,1,51
ChiefDelphi is down ,1,69
"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",1,285
playing game at home! my new boss didn't call me yet... ,1,2
Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,1,205
Poor Joshy is sick???   those damn tejanos!,0,304
My thoughts are with Sandra Cantu's family at this difficult and sad time ,1,315
"@FranzGlaus I know, just wanted to let everybody know what was happening  ",1,691
Michigan who?  I don't know them.                   *sigh*   Shameful!,1,305
i have to fill two hours ,1,1734
"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",1,563
@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,1,973
throat is closing up and i had some string cheese. not a good idea ,1,840
"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",0,153
wishing i was home underneath my covers ,1,162
walking home from school drains all my energy ,1,1175
"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",1,523
@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,0,26
I wish I was better at writing. It's taking me so long to write this paper. ,1,191
..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,1,689
"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",1,15
@thecoolestout Ha the sun's already gone ,1,312
day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,1,1263
My man crush Jake Peavy let me down  #gayforpeavy,1,503
"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail ",0,126
michigan state you make me sad ,1,482
omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,0,113
getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs,1,2621
@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. ,1,350
@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. ,1,1149
just got home from watching Michigan State get tromped!   ,1,60
"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache ",1,576
"@griffmiester no exchanging for me, my laptop hasn't arrived ",1,237
@hyperbets i hope this doesn't last too long.  i feel miserable!,1,22452
@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...,1,1070
@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down ,1,77
@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!,1,453
"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah ",1,1118
@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week ,1,86
"@otakusecret my reaction too  whoa, didn't see that coming",1,24
"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ",0,331
"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry ",1,1249
@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. ,1,397
Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it ,1,382
New Testament Test at 9:30 am   ,1,67
@ScoutBuck tons no hay Troll? ahhhh ,1,455
stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,1,384
"http://twitpic.com/2y2yi - I love you, Buck. ",1,124
last one!!! but still not done!!! ,1,31
homework.... ,1,961
I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby ,1,344
Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,1,82
@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,1,143
"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",1,687
"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",1,330
@Sara_Kate Im afraid too  ( ur reply about uni from ages ago,1,1086
feeling down ,1,710
@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,1,609
"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart.",1,808
 wonder if Jon lost the net,1,4326
Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,1,220
@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,1,4411
@Poohpot lmao im sorry poohpot i ate it all! ,1,275
Any chance  Softbelly (for @MTUB) isn't loud? ,1,2736
Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but I�m drool for some swimming,1,716
listening to nathan cry.... ,1,548
today sucked. I'm gonna die without chris and callum!  wahhh!,1,606
"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",1,249
@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,1,13
is in love with scrappy and is missin him already ,1,103
wants to hear @seblefebvre 's song but myspace is messing with me ,1,583
Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,1,410
@duchess_rebecca Man... intervention is soo sad ,1,271
HELP! I need a new boyfriend... I'm stuck in a rut ,0,1029
I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me ,1,171
Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,1,59
Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,1,243
"@soillodge yes, it will be. it's only Monday ",1,390
i want the new GG episode already ,1,123
I miss watching Rocko's Modern Life. ,1,78
RIP Sandra....its so sad    how can someone do something like that??,1,3
Keeping my fingers crossed for my buddy    He is not feeling well.,1,938
Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,1,32
